,Cu,Ni,Cr,NO3
573,2.9263022,3.1221254,1.7063421,17.136644
574,2.8241868,3.207898,2.7393432,20.10656
575,2.888751,2.808166,3.0303667,20.400824
576,2.894829,3.5232763,3.8160932,24.121256
577,2.8420193,2.91934,3.764644,22.849083
578,3.0645626,1.5159385,4.421192,22.194262
579,3.1243246,3.1886835,4.7794824,26.801048
580,2.7550192,4.1144376,0.19607177,14.198051
581,2.8155518,3.9985714,0.73011726,15.499027
582,2.9258347,3.797822,1.1647722,16.743532
583,3.16386,3.1433334,1.7257082,17.678806
584,2.776702,3.740928,2.2980657,20.11063
585,3.3122826,3.5819824,2.7685714,21.805714
586,2.8439145,3.0650055,3.2270463,21.234343
587,3.2531152,2.4925501,3.674988,22.35191
588,2.7512708,3.8690493,4.3588185,26.079857
589,3.0904465,3.8781765,4.4140563,26.834805
590,1.6301943,6.5856295,0.4980927,17.829676
591,2.1085079,5.000506,1.0435935,17.10934
592,2.4446197,3.946568,1.4548516,16.93377
593,2.5469747,4.1139593,2.0881357,19.381859
594,2.6837993,3.223277,2.501115,19.170303
595,2.7488134,2.6172602,3.1956983,20.123281
596,2.7856894,1.4135294,3.7364054,19.42986
597,2.9224293,3.6010513,4.1466527,25.006962
598,3.0155776,3.3771698,4.537822,26.291239
599,3.596965,2.8188004,5.196545,28.317684
600,2.7318447,2.2122626,0.10835375,10.389767
601,2.6929936,1.8848164,0.8955655,11.704495
602,2.8462756,1.9327165,1.4258891,13.504955
603,3.3830624,1.7595631,1.8908632,16.00125
604,2.64792,2.3621216,2.6565754,17.833836
605,3.5166347,0.2150794,2.8907351,15.80754
606,3.0258873,0.8647039,3.6793513,18.54649
607,3.4067879,0.4903213,4.240831,20.191427
608,3.2594628,2.0691447,4.590745,24.016623
609,3.5713446,1.1550318,5.030972,24.321295
610,3.423506,1.9175953,0.024462368,10.8080225
611,3.0444806,2.1142337,0.68180436,12.190757
612,2.9489064,2.610933,1.2967676,14.808466
613,2.6019647,2.6739275,2.0962684,16.800198
614,3.141523,1.8309869,2.528891,17.497461
615,3.176026,1.5767419,3.0352705,18.336191
616,2.7850327,2.2343166,3.4699824,20.261957
617,3.195091,0.6084364,3.741911,18.712173
618,3.1907573,0.9209199,4.7201395,22.199434
619,3.2640498,0.4739792,4.978926,22.224302
620,3.3975735,2.0407596,0.12563708,11.217382
621,3.0980911,2.5544467,0.6813504,13.142701
622,3.0647101,2.8298154,1.2282988,15.117138
623,3.404422,1.5429765,1.7466806,15.017259
624,3.253799,2.6187801,2.344814,18.61835
625,3.5417597,1.5033467,2.8388984,18.559881
626,3.1451144,2.429192,3.1645517,20.575487
627,3.3009977,1.0003505,3.8390536,19.969358
628,3.0770004,1.2098249,4.544664,21.587141
629,2.9510243,0.94232845,4.865725,22.51705
630,3.3559349,1.7316232,0.13796999,10.541349
631,4.084087,3.0935817,0.5432016,15.699666
632,3.445798,1.245238,1.1336071,12.846158
633,3.4972134,1.8554567,1.803083,15.99788
634,3.238707,1.1320448,2.317992,15.365771
